seed,metric,configuration,step,loss
6,hessian,G0M1S0,225,-33.19871800507691
6,hessian,G0M1S0,299,-33.19871800507697
6,hessian,G0M1S1,0,0.6763089089956364
6,hessian,G0M1S1,75,-33.198382601610376
6,hessian,G0M1S1,150,-33.19871751533571
6,hessian,G0M1S1,225,-33.198717558101535
6,hessian,G0M1S1,299,-33.19871755825336
6,hessian,G1M0S0,0,0.6763089089956364
6,hessian,G1M0S0,75,-33.19772702429811
6,hessian,G1M0S0,150,-33.19871780171466
6,hessian,G1M0S0,225,-33.198718005034934
6,hessian,G1M0S0,299,-33.198718005076955
6,hessian,G1M0S1,0,0.6763089089956364
6,hessian,G1M0S1,75,-33.19773754756666
6,hessian,G1M0S1,150,-33.19871762498143
6,hessian,G1M0S1,225,-33.19871743680412
6,hessian,G1M0S1,299,-33.19871743109406
6,hessian,G1M1S0,0,0.6763089089956364
6,hessian,G1M1S0,75,-33.19843775051412
6,hessian,G1M1S0,150,-33.1987180009618
6,hessian,G1M1S0,225,-33.198718005076906
6,hessian,G1M1S0,299,-33.19871800507696
6,hessian,G1M1S1,0,0.6763089089956364
6,hessian,G1M1S1,75,-33.19844444261656
6,hessian,G1M1S1,150,-33.1987176234635
6,hessian,G1M1S1,225,-33.19871755852335
6,hessian,G1M1S1,299,-33.198717558255126
7,control,G0M0S0,0,0.20608634007445617
7,control,G0M0S0,75,-13.324952103146554
7,control,G0M0S0,150,-18.901336940188315
7,control,G0M0S0,225,-19.000298662263667
7,control,G0M0S0,299,-19.000751878162443
7,control,G0M0S1,0,0.20608634007445617
7,control,G0M0S1,75,-13.322685576539667
7,control,G0M0S1,150,-18.90131659594118
7,control,G0M0S1,225,-19.000303229988834
7,control,G0M0S1,299,-19.000752287803994
7,control,G0M1S0,0,0.20608634007445617
7,control,G0M1S0,75,-14.49231307940641
7,control,G0M1S0,150,-18.978771065373518
7,control,G0M1S0,225,-19.00070840246271
7,control,G0M1S0,299,-19.00075710908238
7,control,G0M1S1,0,0.20608634007445617
7,control,G0M1S1,75,-14.490312018679122
7,control,G0M1S1,150,-18.978782299449254
7,control,G0M1S1,225,-19.000709691641035
7,control,G0M1S1,299,-19.000757147283267
7,control,G1M0S0,0,0.20608634007445617
7,control,G1M0S0,75,-13.421789159912528
7,control,G1M0S0,150,-18.906068996921956
7,control,G1M0S0,225,-19.00029025998672
7,control,G1M0S0,299,-19.00075134783658
7,control,G1M0S1,0,0.20608634007445617
7,control,G1M0S1,75,-13.419507905688727
7,control,G1M0S1,150,-18.906057059672612
7,control,G1M0S1,225,-19.00029501730917
7,control,G1M0S1,299,-19.000751785514655
7,control,G1M1S0,0,0.20608634007445617
7,control,G1M1S0,75,-14.599267065789702
7,control,G1M1S0,150,-18.979846177793522
7,control,G1M1S0,225,-19.000704596193717
7,control,G1M1S0,299,-19.000757047727607
7,control,G1M1S1,0,0.20608634007445617
7,control,G1M1S1,75,-14.597261049544155
7,control,G1M1S1,150,-18.97986032479259
7,control,G1M1S1,225,-19.000705968389674
7,control,G1M1S1,299,-19.00075709541165
7,hessian,G0M0S0,0,0.20608634007445617
7,hessian,G0M0S0,75,-25.28763774309164
7,hessian,G0M0S0,150,-25.290206263000858
7,hessian,G0M0S0,225,-25.290206813544795
7,hessian,G0M0S0,299,-25.29020681366532
7,hessian,G0M0S1,0,0.20608634007445617
